Month,Day,mean,std,Rainfall_Risk_Threshold_mm,Historical_Prob_%,Theoretical_Risk_Prob_%
1,1,1.7031285601025807e-05,3.8422739681593346e-05,9.38767649642125e-05,6.451612903225806,2.27501319481792
1,2,1.3864523762870968e-05,3.8022466908909345e-05,8.990945758068966e-05,3.225806451612903,2.27501319481792
1,3,1.853058172736129e-05,4.9213353118764824e-05,0.00011695728796489094,3.225806451612903,2.27501319481792
1,4,8.758312645029032e-06,2.215185750559457e-05,5.306202765621817e-05,3.225806451612903,2.27501319481792
1,5,2.597044269225807e-05,6.982946789339601e-05,0.00016562937847905008,3.225806451612903,2.27501319481792
1,6,1.423647669578387e-05,4.624891283855634e-05,0.00010673430237289655,3.225806451612903,2.27501319481792
1,7,6.051153157096775e-06,1.339212443549818e-05,3.2835402028093135e-05,6.451612903225806,2.27501319481792
1,8,5.283831547161291e-06,1.5124315574687089e-05,3.553246269653547e-05,6.451612903225806,2.27501319481792
1,9,4.99212819836129e-06,1.3025583994027407e-05,3.1043296186416106e-05,3.225806451612903,2.27501319481792
1,10,1.0326084344701612e-05,2.423955816669567e-05,5.880520067809295e-05,3.225806451612903,2.27501319481792
1,11,1.086388863867742e-05,3.080627027879904e-05,7.24764291962755e-05,3.225806451612903,2.27501319481792
1,12,7.69582223537742e-06,2.0639607278765526e-05,4.897503679290847e-05,6.451612903225806,2.27501319481792
1,13,5.115407772225806e-06,1.1967127431199427e-05,2.904966263462466e-05,6.451612903225806,2.27501319481792
1,14,6.323967476612903e-06,1.8573767514868294e-05,4.347150250634949e-05,6.451612903225806,2.27501319481792
1,15,9.017816757129034e-06,2.1214275508652524e-05,5.1446367774434084e-05,6.451612903225806,2.27501319481792
1,16,8.307940176774194e-06,2.055964590976616e-05,4.942723199630652e-05,3.225806451612903,2.27501319481792
1,17,2.1723785433322575e-06,6.322550836378533e-06,1.4817480216089323e-05,3.225806451612903,2.27501319481792
1,18,8.79546233551613e-06,2.399517655692645e-05,5.678581544936903e-05,6.451612903225806,2.27501319481792
1,19,6.948922478806452e-06,1.3490440357602189e-05,3.392980319401083e-05,6.451612903225806,2.27501319481792
1,20,3.296531076303226e-06,6.87560181979252e-06,1.7047734715888268e-05,9.67741935483871,2.27501319481792
1,21,2.000234198319355e-05,5.377264049685891e-05,0.00012754762297691137,6.451612903225806,2.27501319481792
1,22,8.930170222235483e-06,1.916839801343775e-05,4.726696624911098e-05,6.451612903225806,2.27501319481792
1,23,7.771823800387097e-06,1.4390404969422448e-05,3.6552633739231996e-05,6.451612903225806,2.27501319481792
1,24,2.934725025129032e-06,7.99860575616945e-06,1.893193653746793e-05,6.451612903225806,2.27501319481792
1,25,2.005777923564516e-05,3.508774739514984e-05,9.023327402594484e-05,6.451612903225806,2.27501319481792
1,26,5.856769787419354e-06,1.4452868513499673e-05,3.47625068144187e-05,3.225806451612903,2.27501319481792
1,27,8.11321990637742e-06,2.1433299547514515e-05,5.097981900140645e-05,6.451612903225806,2.27501319481792
1,28,1.1126108352145161e-05,3.5667327090864786e-05,8.246076253387473e-05,3.225806451612903,2.27501319481792
1,29,3.7295664541612902e-06,9.762884741679898e-06,2.3255335937521087e-05,6.451612903225806,2.27501319481792
1,30,1.0331683763225806e-05,3.1011011519821276e-05,7.235370680286835e-05,6.451612903225806,2.27501319481792
1,31,1.1162449918516129e-05,3.0908624288567615e-05,7.297969849565135e-05,3.225806451612903,2.27501319481792
2,1,8.82599427383871e-06,1.8626187489133157e-05,4.607836925210502e-05,3.225806451612903,2.27501319481792
2,2,6.378708907483871e-06,1.3516208621403399e-05,3.341112615029067e-05,6.451612903225806,2.27501319481792
2,3,1.1266164539677419e-05,3.185930247775543e-05,7.498476949518827e-05,3.225806451612903,2.27501319481792
2,4,6.068996974193548e-06,9.388875703845323e-06,2.4846748381884193e-05,9.67741935483871,2.27501319481792
2,5,5.592302462025806e-06,1.0426010721283617e-05,2.644432390459304e-05,3.225806451612903,2.27501319481792
2,6,8.836877519774194e-06,1.4008244765099548e-05,3.685336704997329e-05,6.451612903225806,2.27501319481792
2,7,6.2526367912903225e-06,1.2373339233007462e-05,3.0999315257305246e-05,6.451612903225806,2.27501319481792
2,8,1.6107741069774194e-05,3.420814417354155e-05,8.452402941685729e-05,6.451612903225806,2.27501319481792
2,9,1.6054740128129034e-05,3.2732533392902774e-05,8.151980691393459e-05,3.225806451612903,2.27501319481792
2,10,1.2417259163225807e-05,3.194758175954002e-05,7.631242268230585e-05,6.451612903225806,2.27501319481792
2,11,1.4488325240935484e-05,2.829895903859237e-05,7.108624331812023e-05,3.225806451612903,2.27501319481792
2,12,1.2003393022967742e-05,3.1924061173696006e-05,7.585151537035975e-05,3.225806451612903,2.27501319481792
2,13,1.2337000652032258e-05,2.328698777203547e-05,5.8910976196103204e-05,9.67741935483871,2.27501319481792
2,14,1.3928411093322582e-05,2.2293544880372767e-05,5.851550085406812e-05,9.67741935483871,2.27501319481792
2,15,1.3570242253129031e-05,2.2723591217524457e-05,5.901742468817794e-05,9.67741935483871,2.27501319481792
2,16,5.671445359677419e-06,1.215274851232987e-05,2.9976942384337157e-05,9.67741935483871,2.27501319481792
2,17,7.5136911863225795e-06,1.5134311738899288e-05,3.7782314664121153e-05,6.451612903225806,2.27501319481792
2,18,7.514733910816129e-06,1.5608220639377957e-05,3.873117518957204e-05,9.67741935483871,2.27501319481792
2,19,1.028465852351613e-05,2.0285323897835883e-05,5.08553063191879e-05,6.451612903225806,2.27501319481792
2,20,1.2389998894129032e-05,2.3225160609848113e-05,5.884032011382526e-05,9.67741935483871,2.27501319481792
2,21,1.1863943397741936e-05,2.3184047283518582e-05,5.82320379647791e-05,6.451612903225806,2.27501319481792
2,22,7.179798447870968e-06,1.5908094922031157e-05,3.899598829193328e-05,6.451612903225806,2.27501319481792
2,23,9.818335043548388e-06,1.9255126320961796e-05,4.832858768547198e-05,3.225806451612903,2.27501319481792
2,24,1.8071867133741934e-05,4.532191056623252e-05,0.00010871568826620697,6.451612903225806,2.27501319481792
2,25,1.976122797064516e-05,3.9257894958437105e-05,9.827701788751937e-05,9.67741935483871,2.27501319481792
2,26,1.632099315064516e-05,2.676651895851666e-05,6.985403106767849e-05,6.451612903225806,2.27501319481792
2,27,2.484886356483871e-05,3.700834252867991e-05,9.886554862219853e-05,6.451612903225806,2.27501319481792
2,28,2.0042110370225805e-05,3.287375915906429e-05,8.578962868835437e-05,9.67741935483871,2.27501319481792
2,29,7.4275661e-06,9.900476117790782e-06,2.7228518335581566e-05,0.0,2.27501319481792
3,1,1.3056147108645161e-05,2.215767588145922e-05,5.73714988715636e-05,9.67741935483871,2.27501319481792
3,2,2.327589630935484e-05,4.204838952028427e-05,0.00010737267534992338,6.451612903225806,2.27501319481792
3,3,1.8042580362419355e-05,3.46641609401034e-05,8.737090224262615e-05,6.451612903225806,2.27501319481792
3,4,1.6625308105161292e-05,3.604743769531126e-05,8.872018349578381e-05,3.225806451612903,2.27501319481792
3,5,1.9738448693451612e-05,3.284324612777127e-05,8.542494094899415e-05,6.451612903225806,2.27501319481792
3,6,7.032661855645161e-06,1.1652197966355876e-05,3.0337057788356915e-05,3.225806451612903,2.27501319481792
3,7,1.4871887667419355e-05,3.0313348234733953e-05,7.549858413688726e-05,3.225806451612903,2.27501319481792
3,8,1.752894246580645e-05,2.325238800047602e-05,6.403371846675849e-05,6.451612903225806,2.27501319481792
3,9,1.9919234698935484e-05,4.154441081355771e-05,0.0001030080563260509,3.225806451612903,2.27501319481792
3,10,1.9395820070225804e-05,3.507328275263798e-05,8.954238557550177e-05,6.451612903225806,2.27501319481792
3,11,1.932708316483871e-05,4.3412041556654904e-05,0.00010615116627814852,3.225806451612903,2.27501319481792
3,12,2.0238259523548388e-05,3.575608941833162e-05,9.175043836021164e-05,6.451612903225806,2.27501319481792
3,13,2.3596635385225807e-05,4.7409762092215e-05,0.0001184161595696558,3.225806451612903,2.27501319481792
3,14,1.7087181059677418e-05,2.5305749065196863e-05,6.769867919007114e-05,6.451612903225806,2.27501319481792
3,15,1.0104012569516129e-05,2.7285279963189747e-05,6.467457249589562e-05,3.225806451612903,2.27501319481792
3,16,1.560325533383871e-05,3.260546196358732e-05,8.081417926101336e-05,6.451612903225806,2.27501319481792
3,17,1.4934707515483872e-05,2.91625741815257e-05,7.325985587853528e-05,3.225806451612903,2.27501319481792
3,18,2.040311973380645e-05,3.2807735544274136e-05,8.601859082235472e-05,3.225806451612903,2.27501319481792
3,19,1.605227923351613e-05,2.4072040656964628e-05,6.419636054744538e-05,6.451612903225806,2.27501319481792
3,20,1.6191138716e-05,2.7615670592078122e-05,7.142247990015624e-05,6.451612903225806,2.27501319481792
3,21,2.2868071469709676e-05,5.114061270767355e-05,0.00012514929688505679,3.225806451612903,2.27501319481792
3,22,2.3885223570000003e-05,4.0189175801821117e-05,0.00010426357517364224,3.225806451612903,2.27501319481792
3,23,2.2429426413225806e-05,4.191837606288343e-05,0.00010626617853899266,3.225806451612903,2.27501319481792
3,24,2.5402054928709677e-05,3.318545779733645e-05,9.177297052338258e-05,3.225806451612903,2.27501319481792
3,25,1.9302503936451612e-05,3.0686416914522285e-05,8.067533776549618e-05,6.451612903225806,2.27501319481792
3,26,1.5719373034096773e-05,2.71218324755689e-05,6.996303798523457e-05,6.451612903225806,2.27501319481792
3,27,2.4254805925258063e-05,3.930285465420578e-05,0.00010286051523366963,6.451612903225806,2.27501319481792
3,28,2.062001732580645e-05,2.5446130482165515e-05,7.151227829013748e-05,6.451612903225806,2.27501319481792
3,29,2.1608001640419355e-05,3.9424527147720956e-05,0.00010045705593586127,3.225806451612903,2.27501319481792
3,30,2.0824871837451614e-05,3.3104547006872015e-05,8.703396585119564e-05,6.451612903225806,2.27501319481792
3,31,2.5531107434516128e-05,5.238170839802394e-05,0.000130294524230564,6.451612903225806,2.27501319481792
4,1,2.996291370229032e-05,5.0585671148086695e-05,0.0001311342559984637,6.451612903225806,2.27501319481792
4,2,2.516612594119355e-05,3.39828103784875e-05,9.313174669816855e-05,6.451612903225806,2.27501319481792
4,3,3.109845781574194e-05,5.080556657575569e-05,0.00013270959096725333,6.451612903225806,2.27501319481792
4,4,1.5450249208935483e-05,2.1199183859472177e-05,5.784861692787984e-05,6.451612903225806,2.27501319481792
4,5,1.4964115723225808e-05,2.4932547993343104e-05,6.482921170991201e-05,6.451612903225806,2.27501319481792
4,6,1.8381138182290323e-05,3.293353893101593e-05,8.424821604432217e-05,3.225806451612903,2.27501319481792
4,7,3.470213244567742e-05,5.71795700767579e-05,0.00014906127259919322,6.451612903225806,2.27501319481792
4,8,3.148153262196774e-05,4.3609366708914044e-05,0.00011870026603979584,6.451612903225806,2.27501319481792
4,9,3.1009464397741935e-05,4.431201334232175e-05,0.00011963349108238543,3.225806451612903,2.27501319481792
4,10,2.4346137876451613e-05,3.0863072690681774e-05,8.607228325781516e-05,6.451612903225806,2.27501319481792
4,11,3.532739767516129e-05,3.9127542265180106e-05,0.00011358248220552151,9.67741935483871,2.27501319481792
4,12,4.2955593853645164e-05,6.799246325744328e-05,0.00017894052036853173,6.451612903225806,2.27501319481792
4,13,3.799153852419355e-05,4.0650043050100775e-05,0.0001192916246243951,6.451612903225806,2.27501319481792
4,14,3.6320531384419354e-05,4.395272422249315e-05,0.00012422597982940565,6.451612903225806,2.27501319481792
4,15,2.3730102198032258e-05,3.0165382596071588e-05,8.406086739017544e-05,6.451612903225806,2.27501319481792
4,16,2.754920637451613e-05,4.62019532665245e-05,0.00011995311290756513,6.451612903225806,2.27501319481792
4,17,2.3113185485290322e-05,5.371222482903608e-05,0.00013053763514336248,6.451612903225806,2.27501319481792
4,18,2.271067825577419e-05,2.9638314266926738e-05,8.198730678962766e-05,6.451612903225806,2.27501319481792
4,19,2.3291142688709675e-05,2.9682132604012926e-05,8.265540789673553e-05,6.451612903225806,2.27501319481792
4,20,1.9969009179483872e-05,2.8318832627217043e-05,7.660667443391795e-05,6.451612903225806,2.27501319481792
4,21,3.4889370580538706e-05,5.44621276198876e-05,0.0001438136258203139,3.225806451612903,2.27501319481792
4,22,5.20354697216129e-05,7.76371513039225e-05,0.0002073097723294579,9.67741935483871,2.27501319481792
4,23,2.0085515116974193e-05,3.217580015102206e-05,8.443711541901831e-05,3.225806451612903,2.27501319481792
4,24,2.896608564248387e-05,2.9177919112806732e-05,8.732192386809734e-05,6.451612903225806,2.27501319481792
4,25,3.031394071548387e-05,3.5041970820936586e-05,0.00010039788235735704,9.67741935483871,2.27501319481792
4,26,3.772628713703226e-05,4.0951852169063106e-05,0.00011962999147515847,3.225806451612903,2.27501319481792
4,27,3.500295402283871e-05,4.622718198766884e-05,0.00012745731799817638,3.225806451612903,2.27501319481792
4,28,2.6502017048709674e-05,2.8099529292479274e-05,8.270107563366823e-05,3.225806451612903,2.27501319481792
4,29,3.4822746706451614e-05,4.2863915981402746e-05,0.0001205505786692571,6.451612903225806,2.27501319481792
4,30,4.1384356742258064e-05,6.444738519526669e-05,0.00017027912713279145,6.451612903225806,2.27501319481792
5,1,3.994820570451613e-05,6.362586164957268e-05,0.0001671999290036615,6.451612903225806,2.27501319481792
5,2,5.73999302e-05,8.375491339941182e-05,0.00022490975699882365,9.67741935483871,2.27501319481792
5,3,5.8674653372258065e-05,6.620121671138851e-05,0.00019107708679503508,9.67741935483871,2.27501319481792
5,4,6.832627531129032e-05,8.07666613093919e-05,0.00022985959793007412,6.451612903225806,2.27501319481792
5,5,5.698883613883871e-05,7.139883718277949e-05,0.00019978651050439768,9.67741935483871,2.27501319481792
5,6,7.764835385032258e-05,0.00011624350304122824,0.00031013535993277907,3.225806451612903,2.27501319481792
5,7,7.67794302548387e-05,8.72461367749586e-05,0.0002512717038047559,6.451612903225806,2.27501319481792
5,8,8.569599351612904e-05,6.360862858336073e-05,0.0002129132506828505,3.225806451612903,2.27501319481792
5,9,5.717863294645162e-05,6.501786229222126e-05,0.00018721435753089413,6.451612903225806,2.27501319481792
5,10,6.834803856935484e-05,0.00010960838540079679,0.00028756480937094844,6.451612903225806,2.27501319481792
5,11,6.230580070354838e-05,7.423620762900367e-05,0.00021077821596155572,6.451612903225806,2.27501319481792
5,12,6.541148087580646e-05,9.275538971518271e-05,0.0002509222603061719,6.451612903225806,2.27501319481792
5,13,7.674647007064516e-05,0.0001029921555311168,0.0002827307811328788,6.451612903225806,2.27501319481792
5,14,7.894586765806452e-05,0.00011553721015986082,0.00031002028797778614,6.451612903225806,2.27501319481792
5,15,9.744662573548387e-05,0.00019719231025803265,0.0004918312462515492,3.225806451612903,2.27501319481792
5,16,9.611867413709678e-05,0.0001655130266718694,0.0004271447274808356,3.225806451612903,2.27501319481792
5,17,7.02608235343871e-05,0.0001126588618655159,0.0002955785472654189,6.451612903225806,2.27501319481792
5,18,6.813453524645161e-05,7.95864794492649e-05,0.0002273074941449814,6.451612903225806,2.27501319481792
5,19,8.545033837096775e-05,0.0001144613399315013,0.00031437301823397033,6.451612903225806,2.27501319481792
5,20,7.068923814580646e-05,8.077031261348699e-05,0.00023222986337278044,9.67741935483871,2.27501319481792
5,21,7.45768193e-05,0.00010635951601738619,0.00028729585133477234,6.451612903225806,2.27501319481792
5,22,0.00010699254184080644,0.00012591606767110665,0.0003588246771830197,3.225806451612903,2.27501319481792
5,23,0.00011653876275612902,0.00014139922454764172,0.00039933721185141243,3.225806451612903,2.27501319481792
5,24,6.447344103870968e-05,9.020410563311989e-05,0.0002448816523049495,3.225806451612903,2.27501319481792
5,25,6.900494709096775e-05,9.03719747289131e-05,0.0002497488965487939,6.451612903225806,2.27501319481792
5,26,7.499215144516129e-05,0.00015105712926126569,0.00037710640996769265,3.225806451612903,2.27501319481792
5,27,0.00010124480608064517,0.00010698304986352112,0.00031521090580768744,6.451612903225806,2.27501319481792
5,28,5.951831649903225e-05,8.471773839409928e-05,0.0002289537932872308,6.451612903225806,2.27501319481792
5,29,8.492316010322582e-05,9.736653888134326e-05,0.00027965623786591233,9.67741935483871,2.27501319481792
5,30,7.503406082887097e-05,0.00010290198696743841,0.0002808380347637478,9.67741935483871,2.27501319481792
5,31,7.855314948387097e-05,8.351301121194051e-05,0.000245579171907752,3.225806451612903,2.27501319481792
6,1,8.57755748583871e-05,6.205222907153178e-05,0.00020988003300145066,6.451612903225806,2.27501319481792
6,2,9.12700461137742e-05,6.249459691510659e-05,0.00021625923994398737,3.225806451612903,2.27501319481792
6,3,7.994265687741935e-05,4.743387855723327e-05,0.00017481041399188587,0.0,2.27501319481792
6,4,8.622982136332258e-05,5.3426936976302345e-05,0.00019308369531592727,3.225806451612903,2.27501319481792
6,5,9.187237730258063e-05,5.477331780539484e-05,0.00020141901291337031,3.225806451612903,2.27501319481792
6,6,9.181076208267742e-05,6.260947146355552e-05,0.00021702970500978844,3.225806451612903,2.27501319481792
6,7,8.588477990196775e-05,4.950345518579305e-05,0.00018489169027355385,0.0,2.27501319481792
6,8,7.573325432870968e-05,6.111346487325366e-05,0.000197960184075217,6.451612903225806,2.27501319481792
6,9,8.190087412387097e-05,6.80561821430021e-05,0.00021801323840987515,3.225806451612903,2.27501319481792
6,10,0.00010955870118258065,9.757125696267297e-05,0.0003047012151079266,3.225806451612903,2.27501319481792
6,11,0.00011170217328064516,0.00010764220575806048,0.0003269865847967661,3.225806451612903,2.27501319481792
6,12,8.008664213064516e-05,4.634533293763841e-05,0.00017277730800592197,3.225806451612903,2.27501319481792
6,13,7.823655663225807e-05,4.157647195189514e-05,0.00016138950053604836,3.225806451612903,2.27501319481792
6,14,7.11965445583871e-05,4.899336697019356e-05,0.00016918327849877422,6.451612903225806,2.27501319481792
6,15,8.488114269322581e-05,5.307164164281949e-05,0.0001910244259788648,6.451612903225806,2.27501319481792
6,16,8.432665329032257e-05,4.966840730275047e-05,0.00018366346789582352,3.225806451612903,2.27501319481792
6,17,8.866213658935484e-05,4.360707859578399e-05,0.00017587629378092281,3.225806451612903,2.27501319481792
6,18,8.019413463225807e-05,4.598409400873061e-05,0.0001721623226497193,3.225806451612903,2.27501319481792
6,19,8.7452911272e-05,5.0990252492927247e-05,0.0001894334162578545,3.225806451612903,2.27501319481792
6,20,0.00010328304435161291,6.0113446795548515e-05,0.00022350993794270993,6.451612903225806,2.27501319481792
6,21,0.00010048329718806452,7.699983577842306e-05,0.0002544829687449106,3.225806451612903,2.27501319481792
6,22,0.00010700186288064517,6.283179036617143e-05,0.00023266544361298804,6.451612903225806,2.27501319481792
6,23,8.575653349677419e-05,5.188153409283725e-05,0.00018951960168244868,0.0,2.27501319481792
6,24,9.629129270903227e-05,5.994262266820383e-05,0.00021617653804543993,3.225806451612903,2.27501319481792
6,25,0.00011725903602580644,6.269959941514948e-05,0.0002426582348561054,3.225806451612903,2.27501319481792
6,26,0.0001105215170116129,5.7708372964523994e-05,0.0002259382629406609,3.225806451612903,2.27501319481792
6,27,0.00011414004499032259,5.73094470500908e-05,0.00022875893909050417,3.225806451612903,2.27501319481792
6,28,0.00012681961087419353,6.425509807137589e-05,0.00025532980701694534,3.225806451612903,2.27501319481792
6,29,0.00011203615978709677,8.021717421307887e-05,0.0002724705082132545,9.67741935483871,2.27501319481792
6,30,0.00010437947585516129,6.436095442645768e-05,0.00023310138470807664,6.451612903225806,2.27501319481792
7,1,0.00013481754642999998,0.0001302290243096229,0.0003952755950492458,6.451612903225806,2.27501319481792
