Month,Day,mean,std,Water_Vapor_Risk_Threshold,Historical_Prob_%,Theoretical_Risk_Prob_%
1,1,-1248.15574991875,3535.8750904987123,5823.5944310786745,0.0,2.27501319481792
1,2,1.91212509,0.6828466886121457,3.277818467224291,0.0,2.27501319481792
1,3,2.0968750975,0.629397118663681,3.355669334827362,0.0,2.27501319481792
1,4,-1248.139749916625,3535.881600867307,5823.623451817989,0.0,2.27501319481792
1,5,-3748.28412493625,5176.084503328034,6603.884881719818,0.0,2.27501319481792
1,6,2.6422501274999997,1.0019073368295393,4.646064801159078,0.0,2.27501319481792
1,7,-1247.96324990875,3535.9528657061537,5823.942481503557,0.0,2.27501319481792
1,8,-2498.3503749349998,4629.501524175833,6760.6526734166655,0.0,2.27501319481792
1,9,-2498.2087499262498,4629.58889122692,6760.969032527591,0.0,2.27501319481792
1,10,-2498.147999925,4629.626385389098,6761.104770853195,0.0,2.27501319481792
1,11,-1248.25474992125,3535.835050450433,5823.415350979616,0.0,2.27501319481792
1,12,-3748.3009999375,5176.070535382615,6603.84007082773,0.0,2.27501319481792
1,13,-6248.4691249575,5176.224388756256,4103.979652555013,0.0,2.27501319481792
1,14,-2498.19487492625,4629.5974448364805,6761.000014746711,0.0,2.27501319481792
1,15,2.10462509875,0.5203751467646757,3.1453753922793517,0.0,2.27501319481792
1,16,1.9673750937499999,0.4406047805877577,2.8485846549255154,0.0,2.27501319481792
1,17,-3748.18574993125,5176.165963365425,6604.146176799601,0.0,2.27501319481792
1,18,-1247.90462490625,3535.9765628297973,5824.048500753344,0.0,2.27501319481792
1,19,-1247.77937490125,3536.0271410407404,5824.274907180231,0.0,2.27501319481792
1,20,-2498.33012493125,4629.513983994576,6760.697843057902,0.0,2.27501319481792
1,21,-6248.6564999648745,5175.96579446151,4103.275088958146,0.0,2.27501319481792
1,22,-1248.175999918625,3535.866906306326,5823.557812694027,0.0,2.27501319481792
1,23,-4998.57074995625,5345.68374411284,5692.79673826943,0.0,2.27501319481792
1,24,2.226625105625,0.9640105577166203,4.154646221058241,0.0,2.27501319481792
1,25,-2498.04862491875,4629.687713921356,6761.326802923961,0.0,2.27501319481792
1,26,-2498.26362493,4629.55502725608,6760.846429582161,0.0,2.27501319481792
1,27,-2498.24412492875,4629.5670958007895,6760.89006667283,0.0,2.27501319481792
1,28,-1248.13924991625,3535.881731704207,5823.624213492164,0.0,2.27501319481792
1,29,1.779625085,0.40197974126813957,2.583584567536279,0.0,2.27501319481792
1,30,-3748.12087492875,5176.219687694023,6604.318500459297,0.0,2.27501319481792
1,31,-1247.5977498912498,3536.1005292180857,5824.603308544922,0.0,2.27501319481792
2,1,-4998.2641249425,5346.0115269110875,5693.758928879675,0.0,2.27501319481792
2,2,-1247.74212489625,3536.0422940849076,5824.342463273565,0.0,2.27501319481792
2,3,-3748.12862492875,5176.2132887462885,6604.2979525638275,0.0,2.27501319481792
2,4,-3747.96887492125,5176.3455619834285,6604.722249045607,0.0,2.27501319481792
2,5,-2497.842499909375,4629.815036702967,6761.787573496558,0.0,2.27501319481792
2,6,-2497.54987489625,4629.995589479325,6762.4413040623995,0.0,2.27501319481792
2,7,-1247.9348749062501,3535.964305737994,5823.993736569738,0.0,2.27501319481792
2,8,-2498.167124925,4629.614599146014,6761.062073367029,0.0,2.27501319481792
2,9,-1247.9834999125,3535.944683458124,5823.905867003748,0.0,2.27501319481792
2,10,-3748.216624935,5176.140420279084,6604.064215623168,0.0,2.27501319481792
2,11,-2497.9136249125,4629.771059693227,6761.628494473953,0.0,2.27501319481792
2,12,-4998.23374994,5346.04400305011,5693.854256160221,0.0,2.27501319481792
2,13,-2498.07937492125,4629.668735373813,6761.258095826377,0.0,2.27501319481792
2,14,-2498.1243749225,4629.640968462555,6761.157562002611,0.0,2.27501319481792
2,15,-1247.68487489625,3536.0653284187083,5824.445781941166,0.0,2.27501319481792
2,16,-1247.66099989375,3536.074983285716,5824.488966677682,0.0,2.27501319481792
2,17,-2497.89249991125,4629.784084495096,6761.6756690789425,0.0,2.27501319481792
2,18,-4998.12112493375,5346.164399932212,5694.207674930674,0.0,2.27501319481792
2,19,-4998.303374942499,5345.969588251411,5693.635801560322,0.0,2.27501319481792
2,20,-2497.5167498925,4630.016001630702,6762.515253368903,0.0,2.27501319481792
2,21,-2498.0576249187498,4629.682185625589,6761.306746332429,0.0,2.27501319481792
2,22,2.39350011375,0.4950094036841268,3.3835189211182537,0.0,2.27501319481792
2,23,-1247.862499905,3535.9935265081795,5824.124553111359,0.0,2.27501319481792
2,24,-2498.0304999175,4629.698903216501,6761.367306515502,0.0,2.27501319481792
2,25,-3748.2154999325003,5176.141326129155,6604.067152325809,0.0,2.27501319481792
2,26,-4998.48749995125,5345.772733505399,5693.057967059547,0.0,2.27501319481792
2,27,-6248.34149995125,5176.400533730641,4104.459567510032,0.0,2.27501319481792
2,28,-4998.36249994625,5345.906355573134,5693.450211200017,0.0,2.27501319481792
2,29,2.003000095,0.2800142924209405,2.563028679841881,0.0,2.27501319481792
3,1,-1248.00712491125,3535.9351115313225,5823.863098151395,0.0,2.27501319481792
3,2,-2498.0068749175,4629.7135049906165,6761.420135063732,0.0,2.27501319481792
3,3,-1247.9347499075,3535.9643731132637,5823.993996319027,0.0,2.27501319481792
3,4,-1247.7911248999999,3536.022384190729,5824.253643481458,0.0,2.27501319481792
3,5,-2497.77124990625,4629.858963379593,6761.9466768529355,0.0,2.27501319481792
3,6,-3748.502874946625,5175.903392002155,6603.303909057684,0.0,2.27501319481792
3,7,-3747.94549992125,5176.364917865292,6604.784335809334,0.0,2.27501319481792
3,8,-4998.40887494875,5345.85678359533,5693.30469224191,0.0,2.27501319481792
3,9,-2497.96749991625,4629.73781691501,6761.50813391377,0.0,2.27501319481792
3,10,-1247.7914999025,3536.0222511371335,5824.253002371767,0.0,2.27501319481792
3,11,-1247.6142498924999,3536.0938906499255,5824.573531407351,0.0,2.27501319481792
3,12,-3747.8638749175,5176.432517768555,6605.001160619609,0.0,2.27501319481792
3,13,-6248.25187494625,5176.524259853066,4104.796644759882,0.0,2.27501319481792
3,14,-3747.7682499125,5176.511734379946,6605.255218847391,0.0,2.27501319481792
3,15,-3747.9721249225,5176.342877866791,6604.713630811082,0.0,2.27501319481792
3,16,-1247.5003748875,3536.139911889932,5824.779448892365,0.0,2.27501319481792
3,17,-3747.3018748875,5176.897936844269,6606.493998801037,0.0,2.27501319481792
3,18,-4997.44262490125,5346.889764795131,5696.336904689011,0.0,2.27501319481792
3,19,-7498.27324995375,4630.446178512779,1762.6191070718078,0.0,2.27501319481792
3,20,-3747.09737487875,5177.067285725102,6607.037196571454,0.0,2.27501319481792
3,21,-2497.530874895,4630.007282711147,6762.483690527294,0.0,2.27501319481792
3,22,-3747.88049991625,5176.418751149956,6604.957002383662,0.0,2.27501319481792
3,23,-6248.24687494625,5176.531112243866,4104.815349541483,0.0,2.27501319481792
3,24,-2497.5537498950002,4629.9932189575275,6762.432688020055,0.0,2.27501319481792
3,25,-6248.33937495,5176.403452606105,4104.46753026221,0.0,2.27501319481792
3,26,-1247.20887487375,3536.257753817504,5825.306632761259,0.0,2.27501319481792
3,27,-1246.74312485125,3536.4459197745227,5826.148714697795,0.0,2.27501319481792
3,28,-3747.68587490875,5176.579921018554,6605.473967128359,0.0,2.27501319481792
3,29,-3747.24912488625,5176.941633258831,6606.634141631412,0.0,2.27501319481792
3,30,-3747.31762489125,5176.8848899099685,6606.452154928687,0.0,2.27501319481792
3,31,-4997.5983749100005,5346.723311137933,5695.848247365865,0.0,2.27501319481792
4,1,-4997.93437492625,5346.364089430064,5694.793803933879,0.0,2.27501319481792
4,2,-4998.27787494125,5345.996848710307,5693.715822479364,0.0,2.27501319481792
4,3,-3747.9273749199997,5176.379924618179,6604.832474316358,0.0,2.27501319481792
4,4,-2497.46987489,4630.044941158192,6762.620007426384,0.0,2.27501319481792
4,5,-4998.01949993,5346.273045559404,5694.526591188807,0.0,2.27501319481792
4,6,3.13587514875,0.8933974803985636,4.922670109547127,0.0,2.27501319481792
4,7,-3747.10362487875,5177.062129406512,6607.020633934275,0.0,2.27501319481792
4,8,-2497.3171248837502,4630.139234857848,6762.961344831947,0.0,2.27501319481792
4,9,-1246.82024985375,3536.4147878975205,5826.009325941291,0.0,2.27501319481792
4,10,-2497.26624988125,4630.170613850064,6763.074977818878,0.0,2.27501319481792
4,11,3.76662518,0.7692157666072272,5.305056713214455,0.0,2.27501319481792
4,12,-1246.8789998574998,3536.3909544671355,5825.902909076771,0.0,2.27501319481792
4,13,-2497.02537487125,4630.319315543638,6763.613256216027,0.0,2.27501319481792
4,14,-3746.7326248625,5177.3692975249105,6608.0059701873215,0.0,2.27501319481792
4,15,-2496.50312484625,4630.641650074197,6764.780175302144,0.0,2.27501319481792
4,16,-1246.13562482125,3536.6914502299787,5827.247275638707,0.0,2.27501319481792
4,17,-1246.32987483125,3536.6129544181035,5826.896034004957,0.0,2.27501319481792
4,18,-2496.075874825,4630.9053691835925,6765.734863542185,0.0,2.27501319481792
4,19,-2496.6181248525,4630.570651348044,6764.523177843587,0.0,2.27501319481792
4,20,4.62425022,0.807995395107105,6.240241010214211,0.0,2.27501319481792
4,21,-1245.67987480125,3536.8755030144835,5828.071131227717,0.0,2.27501319481792
4,22,-1246.0221248175,3536.737219919198,5827.452315020896,0.0,2.27501319481792
4,23,-1246.0477498174998,3536.726862209606,5827.405974601713,0.0,2.27501319481792
4,24,-1246.36187483125,3536.5999441200024,5826.838013408755,0.0,2.27501319481792
4,25,-1245.961249815,3536.7618277286433,5827.562405642287,0.0,2.27501319481792
4,26,-2496.296749835,4630.769081534768,6765.241413234536,0.0,2.27501319481792
4,27,-3746.58887485625,5177.488340133018,6608.387805409786,0.0,2.27501319481792
4,28,-3746.47837485125,5177.579872673236,6608.681370495223,0.0,2.27501319481792
4,29,-3746.66924986,5177.421836332019,6608.174422804037,0.0,2.27501319481792
4,30,-3746.36599984625,5177.672942701403,6608.979885556557,0.0,2.27501319481792
5,1,5.3155002525,1.1156998328915748,7.546899918283149,0.0,2.27501319481792
5,2,-1245.33662478375,3537.0142159966967,5828.691807209643,0.0,2.27501319481792
5,3,-2495.8843748150002,4631.023530903865,6766.16268699273,0.0,2.27501319481792
5,4,-2495.8958748175,4631.016476466576,6766.137078115652,0.0,2.27501319481792
5,5,-2495.7959998125,4631.078135096802,6766.360270381103,0.0,2.27501319481792
5,6,-2495.96824982,4630.972007470478,6765.975765120957,0.0,2.27501319481792
5,7,-1245.7488748025,3536.8478004168282,5827.946726031157,0.0,2.27501319481792
5,8,-2496.268124835,4630.786855236632,6765.305585638263,0.0,2.27501319481792
5,9,-1244.9316247650002,3537.1780280175976,5829.424431270195,0.0,2.27501319481792
5,10,-2495.6247498049997,4631.18381238826,6766.74287497152,0.0,2.27501319481792
5,11,-1244.81287475875,3537.2258500181547,5829.63882527756,0.0,2.27501319481792
5,12,-1245.02387477,3537.1407584049775,5829.257642039955,0.0,2.27501319481792
5,13,6.019250285,1.6304696648774915,9.280189614754983,0.0,2.27501319481792
5,14,-1244.725124755,3537.261376559394,5829.797628363788,0.0,2.27501319481792
5,15,6.2770002975,1.4670717877478658,9.21114387299573,0.0,2.27501319481792
5,16,6.10512528875,0.9307821157624464,7.966689520274893,0.0,2.27501319481792
5,17,-3746.2649998399997,5177.756573209107,6609.248146578215,0.0,2.27501319481792
5,18,-1244.7686247575,3537.2438759360443,5829.719127114588,0.0,2.27501319481792
5,19,-4996.872249875,5347.499700393008,5698.1271509110165,0.0,2.27501319481792
5,20,-2494.8231247662497,4631.678717619983,6768.534310473717,0.0,2.27501319481792
5,21,-2495.2093747825,4631.440145040886,6767.670915299272,0.0,2.27501319481792
5,22,-2495.03987477625,4631.544852593421,6768.049830410591,0.0,2.27501319481792
5,23,-3746.13362483375,5177.865317686316,6609.597010538882,0.0,2.27501319481792
5,24,-1244.45624974375,3537.3700580378345,5830.283866331919,0.0,2.27501319481792
5,25,-3745.51087480375,5178.3810006922695,6611.251126580789,0.0,2.27501319481792
5,26,-2494.90499977,4631.6281135606205,6768.351227351241,0.0,2.27501319481792
5,27,-1244.09337472625,3537.5165309267495,5830.939687127249,0.0,2.27501319481792
5,28,-6246.9238748825,5178.357028478316,4109.790182074133,0.0,2.27501319481792
5,29,-6246.84012488,5178.472607826914,4110.105090773828,0.0,2.27501319481792
5,30,-3745.0264997825,5178.782093658184,6612.537687533868,0.0,2.27501319481792
5,31,-2494.4192497475,4631.9278215688955,6769.436393390291,0.0,2.27501319481792
6,1,-2494.62212475625,4631.802634059025,6768.9831433618,0.0,2.27501319481792
6,2,-4996.3922498525,5348.012686685133,5699.633123517767,0.0,2.27501319481792
6,3,-1243.96299971875,3537.569261731094,5831.175523743437,0.0,2.27501319481792
6,4,-2494.95224977125,4631.598942820768,6768.245635870286,0.0,2.27501319481792
6,5,-4995.91774982875,5348.520086912819,5701.122423996889,0.0,2.27501319481792
6,6,-3745.0039997824997,5178.8007263374975,6612.597452892495,0.0,2.27501319481792
6,7,-4995.814499825,5348.630300048883,5701.446100272767,0.0,2.27501319481792
6,8,-2494.5364997525,4631.855448483377,6769.174397214254,0.0,2.27501319481792
6,9,-2494.44474974875,4631.912073364329,6769.379396979909,0.0,2.27501319481792
6,10,-3745.5552498075,5178.3442670606355,6611.133284313772,0.0,2.27501319481792
6,11,-3745.39724979875,5178.475120760881,6611.552991723011,0.0,2.27501319481792
6,12,-3745.1352497875,5178.692057898593,6612.248866009686,0.0,2.27501319481792
6,13,-3745.39049979875,5178.480648184507,6611.570796570264,0.0,2.27501319481792
6,14,-6246.63937487,5178.749691834868,4110.860008799736,0.0,2.27501319481792
6,15,-3744.9496247775,5178.845830406413,6612.742036035326,0.0,2.27501319481792
6,16,-4996.228874845,5348.18733672872,5700.14579861244,0.0,2.27501319481792
6,17,-2494.44974974875,4631.909014713076,6769.368279677403,0.0,2.27501319481792
6,18,-3745.44187480125,5178.43822841059,6611.4345820199305,0.0,2.27501319481792
6,19,-1244.31037473375,3537.4288784900195,5830.547382246289,0.0,2.27501319481792
6,20,-2494.6631247574996,4631.777399775155,6768.89167479281,0.0,2.27501319481792
6,21,-2494.9576247725,4631.595613778003,6768.233602783506,0.0,2.27501319481792
6,22,-2495.5726248012497,4631.215992203065,6766.85935960488,0.0,2.27501319481792
6,23,-3745.72024981375,5178.2076142407,6610.6949786676505,0.0,2.27501319481792
6,24,-2494.8846247675,4631.6405985124475,6768.396572257395,0.0,2.27501319481792
6,25,-4995.8701248275,5348.570839411585,5701.271553995671,0.0,2.27501319481792
6,26,-7497.34862491,4632.15827202515,1766.9679191403002,0.0,2.27501319481792
6,27,-6246.5998748675,5178.804184447759,4111.0084940280185,0.0,2.27501319481792
6,28,-6247.0136248875,5178.233171718351,4109.452718549202,0.0,2.27501319481792
6,29,-6247.19349989625,5177.984930062745,4108.77636022924,0.0,2.27501319481792
6,30,-6247.371124905,5177.739758125672,4108.1083913463435,0.0,2.27501319481792
7,1,-3746.149874835,5177.851829467443,6609.553784099886,0.0,2.27501319481792
7,2,-2495.035749775,4631.547312165533,6768.058874556066,0.0,2.27501319481792
7,3,-1244.3234997362501,3537.423548262009,5830.523596787767,0.0,2.27501319481792
